Timestamp color_1_R color_1_G color_1_B color_1_proportion color_2_R color_2_G color_2_B color_2_proportion color_3_R color_3_G color_3_B color_3_proportion
2016-07-22_11-39-44 25.458141 30.234875 42.146637 0.703735632183908 40.58214 56.693905 79.37608 0.20117521367521368 92.61358 142.984 173.63287 0.09508915414087828
2018-07-27_13-34-46 48.78449 37.814884 35.779194 0.37324882543169197 182.93303 218.51106 238.81332 0.34939136005857585 112.0741 119.45387 135.36461 0.2773598145097321
2015-07-25_07-31-52 75.52398 54.40431 29.984661 0.35352783203125 206.48595 201.4484 198.64041 0.3236279296875 168.19786 136.95717 104.64896 0.32284423828125
2014-07-18_10-00-06 175.71487 201.47363 222.31747 0.361005859375 29.8843 25.146935 23.968664 0.3421142578125 82.61536 130.6396 195.91774 0.2968798828125
2016-04-23_02-56-18 10.612024 12.20423 15.35998 0.8331163194444444 16.061691 27.415817 68.54255 0.09455729166666667 37.86612 74.3576 117.27136 0.07232638888888888
2017-07-23_09-37-36 146.75435 90.958305 122.04893 0.42469478737997257 72.50137 26.198439 40.254597 0.35494855967078187 205.74245 183.71425 196.12494 0.22035665294924553
2016-06-14_13-00-47 217.6636 198.83118 173.83856 0.673984375 173.33342 143.88815 107.33793 0.193675 60.927933 37.171223 23.148941 0.132340625
2017-07-13_15-02-58 9.218046 8.069071 13.576278 0.5772972725608639 40.088287 59.46053 81.63622 0.2536869241564464 100.022255 118.29185 126.75801 0.16901580328268961
2019-01-14_17-23-00 252.42453 251.57146 245.5377 0.4916941241076332 248.65498 245.90984 232.96022 0.3583638416010739 247.28824 244.77274 217.58151 0.14994203429129294
2013-07-27_19-33-04 29.104122 9.665569 34.33871 0.4330465846469307 195.87015 213.24272 194.59421 0.298597761544705 166.03625 51.41922 62.946136 0.2683556538083643
2015-07-08_14-24-23 23.308334 31.66725 40.50935 0.53293701171875 244.1023 178.02614 62.80161 0.23846923828125 120.57892 100.33308 68.37806 0.22859375
2017-08-16_01-13-46 206.57161 200.8909 193.23569 0.38314300411522634 53.14434 37.401176 41.082172 0.3382986111111111 98.6685 125.78096 150.1074 0.27855838477366257
2017-07-22_23-34-49 157.2374 55.33851 81.206764 0.37691358024691357 235.17422 131.97864 120.77061 0.35012431412894374 28.256905 7.947092 27.643938 0.27296210562414264
2016-04-07_11-00-08 220.92726 196.06975 165.15237 0.6944727366255145 175.04819 137.59494 93.17203 0.1793852880658436 49.71026 29.224777 17.187376 0.12614197530864196
2015-02-28_17-56-26 78.02246 90.54086 180.10538 0.38069101508916325 20.519026 21.303648 41.111835 0.3363108710562414 46.12362 50.945618 114.46069 0.28299811385459533
2018-07-24_13-46-06 59.053978 16.89327 9.363801 0.5536548904753188 178.5302 61.667873 44.98702 0.3730535725181524 215.57883 167.31148 142.80109 0.07329153700652877
2018-05-19_13-05-26 8.327537 8.327537 8.327537 0.7396769109535067 75.307236 75.307236 75.307236 0.15045475439978986 192.135 192.135 192.135 0.10986833464670344
2016-05-12_14-00-03 79.196846 26.496784 9.851215 0.58583740234375 201.65604 103.869446 52.20601 0.395107421875 242.17244 219.82574 199.30109 0.01905517578125
2017-08-07_14-50-42 73.88539 64.00906 136.81451 0.4151259991457685 46.75172 13.901566 70.932175 0.37811947037647203 165.36568 39.432087 175.78308 0.20675453047775946
2018-05-04_13-05-54 133.60774 112.47085 101.607574 0.40515578252347056 45.922337 40.441566 28.411512 0.3554872072629733 212.03223 189.47069 169.71199 0.23935701021355618
2016-10-05_09-23-53 48.380123 37.162357 34.810173 0.43396090534979426 160.57014 77.68519 75.286224 0.32502829218106993 199.92615 163.81418 162.20409 0.2410108024691358
2018-08-13_15-53-41 2.9422207 19.428755 51.57112 0.735944841051925 37.423225 96.14706 145.14217 0.19595917993776313 139.73619 198.20148 230.10643 0.0680959790103118
